id,shapeName,year,op,inv,pop,ent,tc,ntl
132,Duvergé,1,0.0,0.0,10694.46289,0,0.0,0.087558391
133,Sabana Yegua,1,0.0,0.0,14131.80664,0,0.0,0.36166218
134,Samaná,1,0.0,0.0,53769.41016,0,0.0,0.260924317
135,Los Alcarrizos,1,8025.72,48804404.3,275437.8125,19,13144.84,14.24257032
136,Nizao,1,0.0,0.0,36010.41797,0,0.0,1.885006658
137,Polo,1,0.0,0.0,7535.708008,0,0.0,0.016682939
138,Quisqueya,1,0.0,0.0,18136.63867,0,0.0,1.045536596
139,Bánica,1,0.0,0.0,7465.756836,0,0.0,0.051255186
140,Cotuí,1,0.0,0.0,79119.19531,0,0.0,0.755276721
141,San Antonio De Guerra,1,2617.6,283200500.0,50201.95313,1,7015.64,0.958591591
142,San Cristóbal,1,2125.79,2728910.8,229389.9219,6,3956.3,3.640031063
143,El Pino,1,0.0,0.0,5341.229492,0,0.0,0.070315821
144,Cambita Garabitos,1,0.0,0.0,32038.32227,0,0.0,0.38672044
145,Villa Jaragua,1,0.0,0.0,9779.625,0,0.0,0.249014922
146,Ramón Santana,1,0.0,0.0,10387.5332,0,0.0,0.206641377
147,Fundación,1,0.0,0.0,13202.46875,0,0.0,0.801890978
148,Cabrera,1,0.0,0.0,25675.97266,0,0.0,0.220233732
149,Cabral,1,0.0,0.0,13645.55859,0,0.0,0.142162552
150,El Valle,1,0.0,0.0,6809.019531,0,0.0,0.100352819
151,Enriquillo,1,0.0,0.0,11665.12207,0,0.0,0.105091939
152,Santiago,1,6726.42,358425965.6,693035.1875,90,15199.41,6.203342421
153,Baitoa,1,0.0,0.0,11532.35742,0,0.0,0.429772153
154,Pedernales,1,1805.0,9000000.0,37019.32813,1,3500.0,0.063292586
155,Isla Beata,1,0.0,0.0,77.41397858,0,0.0,0.0
156,La Romana,1,4718.32,175992584.2,147013.7656,11,10931.3,5.278095104
157,Isla Saona,1,0.0,0.0,1924.996826,0,0.0,0.0
158,Isla Catalina,1,0.0,0.0,355.7883301,0,0.0,0.0
159,San Luis,1,0.0,0.0,55975.42969,0,0.0,2.620699111
160,San Victor,1,0.0,0.0,81556.54688,0,0.0,1.389242988
161,Matanzas,1,1891.12,4170565.5,49476.89844,7,4004.09,0.526791615
0,Constanza,2,0.0,0.0,68747.25,0,0.0,0.299194316
1,Sabana De La Mar,2,0.0,0.0,15981.16895,0,0.0,0.083286691
2,Moca,2,2597.49,11770957.9,126503.7109,8,4287.64,2.010602363
3,Bayaguana,2,0.0,0.0,30900.89844,0,0.0,0.042955889
4,El Factor,2,0.0,0.0,30105.85742,0,0.0,0.28741966
5,San Francisco De Macorís,2,4839.91,17328060.3,206709.625,3,9191.44,1.122924997
6,Puerto Plata,2,2260.84,12873522.6,153787.8438,9,3785.0,1.502418883
7,Jamao Al Norte,2,0.0,0.0,7627.509766,0,0.0,0.131898186
8,Las Matas de Santa Cruz,2,0.0,0.0,8439.001953,0,0.0,0.347478864
9,Jimaní,2,0.0,0.0,25080.81445,0,0.0,0.173565628
10,Baní,2,0.0,0.0,134824.875,0,0.0,1.187312532
11,Villa Hermosa,2,0.0,0.0,95113.86719,0,0.0,3.338488683
12,El Cercado,2,0.0,0.0,18914.61133,0,0.0,0.280418244
13,Eugenio María De Hostos,2,0.0,0.0,5923.628906,0,0.0,0.195074799
14,Bohechío,2,0.0,0.0,7005.133789,0,0.0,0.069823515
15,Arenoso,2,0.0,0.0,12004.49219,0,0.0,0.102152574
